product,date,sales
Stivant 400,140105,144592
Stivant 400,140106,152797
Stivant 400,140107,161238
Stivant 400,140108,171104
Stivant 400,140109,181121
Stivant 400,140110,193487
Stivant 400,140111,201529
Stivant 400,140112,210397
Stivant 400,140201,216273
Stivant 400,140202,225231
Stivant 400,140203,235074
Stivant 400,140204,246008
Stivant 400,140205,258263
Stivant 400,140206,266859
Stivant 400,140207,275437
Stivant 400,140208,284723
Stivant 400,140209,295008
Stivant 400,140210,304874
Stivant 400,140211,316327
Stivant 400,140212,326140
Stivant 400,140301,331753
Stivant 400,140302,333820
Suliba 100,140101,0
Suliba 100,140102,0
Suliba 100,140103,0
Suliba 100,140104,0
Suliba 100,140105,0
Suliba 100,140106,0
Suliba 100,140107,0
Suliba 100,140108,0
Suliba 100,140109,0
Suliba 100,140110,0
Suliba 100,140111,0
Suliba 100,140112,0
Suliba 100,140201,0
Suliba 100,140202,0
Suliba 100,140203,0
Suliba 100,140204,0
Suliba 100,140205,3
Suliba 100,140206,3
Suliba 100,140207,3
Suliba 100,140208,3
Suliba 100,140209,8
Suliba 100,140210,11
Suliba 100,140211,12
Suliba 100,140212,16
Suliba 100,140301,18
Suliba 100,140302,18
Suprotac 0.5,139801,75
Suprotac 0.5,139802,427
Suprotac 0.5,139803,632
Suprotac 0.5,139804,1139
Suprotac 0.5,139805,1474
Suprotac 0.5,139806,1793
Suprotac 0.5,139807,2371
Suprotac 0.5,139808,2496
Suprotac 0.5,139809,2674
Suprotac 0.5,139810,2819
Suprotac 0.5,139811,2870
Suprotac 0.5,139812,2989
Suprotac 0.5,139901,3207
Suprotac 0.5,139902,3439
Suprotac 0.5,139903,3648
Suprotac 0.5,139904,4086
Suprotac 0.5,139905,4266
Suprotac 0.5,139906,4493
Suprotac 0.5,139907,4825
Suprotac 0.5,139908,4970
Suprotac 0.5,139909,5254
Suprotac 0.5,139910,5493
Suprotac 0.5,139911,6039
Suprotac 0.5,139912,6339
Suprotac 0.5,140001,6716
Suprotac 0.5,140002,7000
Suprotac 0.5,140003,7286
Suprotac 0.5,140004,7634
Suprotac 0.5,140005,8029
Suprotac 0.5,140006,8368
Suprotac 0.5,140007,8611
Suprotac 0.5,140008,9036
